"Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","Season","Team.Wins","MVP"
1,"Shaquille O'Neal",27,"LAL",120,1207,1210,0.998,0.9634146,0.9478673,1,1,0.3762376,0.2380952,0.81081081,1,0,0.570185,18.6,1,2000,67,TRUE
2,"Kevin Garnett",23,"MIN",0,408,1210,0.337,0.9878049,0.9478673,0.7710438,0.8676471,0.4950495,0.7142857,0.43243243,0.8658537,0.37,0.8324266,11.6,0.6077739,2000,50,FALSE
3,"Alonzo Mourning",29,"MIA",0,367,1210,0.303,0.9634146,0.8246445,0.7306397,0.6985294,0.1584158,0.2380952,1,0.9599303,0,0.773667,12.9,0.7985866,2000,52,FALSE
4,"Karl Malone",36,"UTA",0,312,1210,0.258,1,0.8507109,0.8585859,0.6985294,0.3663366,0.4761905,0.24324324,0.8867596,0.25,0.867247,15.3,0.8798587,2000,55,FALSE
5,"Tim Duncan",23,"SAS",0,248,1210,0.205,0.902439,0.9218009,0.7811448,0.9117647,0.3168317,0.4285714,0.59459459,0.8536585,0.091,0.828074,13,0.770318,2000,53,FALSE
6,"Gary Payton",31,"SEA",0,180,1210,0.149,1,0.9905213,0.8148148,0.4779412,0.8811881,0.9047619,0.05405405,0.7804878,0.34,0.7997824,13.9,0.6890459,2000,45,FALSE
7,"Allen Iverson",24,"PHI",1,132,1210,0.109,0.8536585,0.9668246,0.956229,0.2794118,0.4653465,1,0.02702703,0.7334495,0.341,0.7758433,6.9,0.409894,2000,49,FALSE
8,"Grant Hill",27,"DET",0,113,1210,0.093,0.902439,0.8886256,0.8686869,0.4852941,0.5148515,0.6666667,0.16216216,0.8519164,0.347,0.8650707,10.7,0.6537102,2000,42,FALSE
9,"Chris Webber",26,"SAC",0,96,1210,0.079,0.9146341,0.9099526,0.8249158,0.7720588,0.4554455,0.7619048,0.45945946,0.8414634,0.284,0.8171926,10.7,0.6325088,2000,44,FALSE
10,"Vince Carter",23,"TOR",0,51,1210,0.042,1,0.9028436,0.8653199,0.4264706,0.3861386,0.6190476,0.2972973,0.8101045,0.403,0.8607182,11.8,0.6431095,2000,45,FALSE
11,"Jason Kidd",26,"PHO",0,25,1210,0.021,0.8170732,0.9241706,0.4814815,0.5294118,1,0.952381,0.10810811,0.7125436,0.337,0.9020675,8.5,0.5512367,2000,53,FALSE
