"Rk","Team","Overall","Home","Road","X3","X10","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Season","Wins","Losses"
" 1","Los Angeles Lakers","67-15","36-5","31-10","8-1","34-7",NA,"11-4","14-1","9-5","12-1","15-1","6-3",NA,"2000","67","15"
" 2","Portland Trail Blazers","59-23","30-11","29-12","4-7","32-7",NA,"13-3","9-4","11-3","12-2","7-7","7-4",NA,"2000","59","23"
" 3","Indiana Pacers","56-26","36-5","20-21","8-5","28-13",NA,"8-7","12-2","8-6","11-2","9-7","8-2",NA,"2000","56","26"
" 4","Utah Jazz","55-27","31-10","24-17","7-8","31-9",NA,"8-6","10-4","9-5","8-5","14-2","6-5",NA,"2000","55","27"
" 5","Phoenix Suns","53-29","32-9","21-20","7-9","27-10",NA,"10-4","8-7","7-7","10-3","12-4","6-4",NA,"2000","53","29"
" 6","San Antonio Spurs","53-29","31-10","22-19","8-7","31-11",NA,"13-3","8-7","7-6","9-4","10-5","6-4",NA,"2000","53","29"
" 7","Miami Heat","52-30","33-8","19-22","9-2","26-15",NA,"11-3","8-6","8-7","9-5","9-5","7-4",NA,"2000","52","30"
" 8","Minnesota Timberwolves","50-32","26-15","24-17","11-4","23-15",NA,"7-5","6-9","12-3","7-7","12-4","6-4",NA,"2000","50","32"
" 9","New York Knicks","50-32","33-8","17-24","9-5","20-13",NA,"8-8","10-4","8-4","8-5","11-6","5-5",NA,"2000","50","32"
"10","Charlotte Hornets","49-33","30-11","19-22","7-5","24-16",NA,"8-6","10-5","6-7","7-7","9-6","9-2",NA,"2000","49","33"
"11","Philadelphia 76ers","49-33","29-12","20-21","17-8","18-14",NA,"8-8","9-7","7-5","7-5","11-5","7-3",NA,"2000","49","33"
"12","Seattle SuperSonics","45-37","24-17","21-20","8-7","22-17",NA,"11-4","7-8","10-5","7-6","6-8","4-6",NA,"2000","45","37"
"13","Toronto Raptors","45-37","26-15","19-22","13-4","20-20",NA,"9-6","8-6","7-7","6-6","10-7","5-5",NA,"2000","45","37"
"14","Sacramento Kings","44-38","30-11","14-27","3-6","28-16",NA,"10-2","7-8","10-6","5-8","9-6","3-8",NA,"2000","44","38"
"15","Detroit Pistons","42-40","27-14","15-26","6-6","21-16",NA,"7-8","8-6","7-8","6-6","8-7","6-5",NA,"2000","42","40"
"16","Milwaukee Bucks","42-40","23-18","19-22","11-7","18-17",NA,"8-6","9-7","8-7","3-9","6-8","8-3",NA,"2000","42","40"
"17","Orlando Magic","41-41","26-15","15-26","6-7","20-16",NA,"7-8","8-6","5-12","6-5","11-5","4-5",NA,"2000","41","41"
"18","Dallas Mavericks","40-42","22-19","18-23","6-7","18-19",NA,"5-11","4-10","8-5","7-6","7-9","9-1",NA,"2000","40","42"
"19","Boston Celtics","35-47","26-15","9-32","4-13","18-19",NA,"7-7","5-9","8-7","3-10","7-9","5-5",NA,"2000","35","47"
"20","Denver Nuggets","35-47","25-16","10-31","10-8","12-27",NA,"6-7","9-6","5-9","5-8","4-13","6-4",NA,"2000","35","47"
"21","Houston Rockets","34-48","22-19","12-29","6-7","16-22",NA,"4-11","6-9","7-7","5-8","5-10","7-3",NA,"2000","34","48"
"22","Cleveland Cavaliers","32-50","22-19","10-31","7-11","12-21",NA,"7-6","5-11","6-9","4-8","6-9","4-7",NA,"2000","32","50"
"23","New Jersey Nets","31-51","22-19","9-32","6-14","15-15",NA,"2-13","10-5","5-9","5-7","9-7","0-10",NA,"2000","31","51"
"24","Washington Wizards","29-53","17-24","12-29","2-10","15-22",NA,"5-10","5-10","4-10","2-10","10-7","3-6",NA,"2000","29","53"
"25","Atlanta Hawks","28-54","21-20","7-34","4-7","11-32",NA,"6-9","5-9","5-8","6-6","4-13","2-9",NA,"2000","28","54"
"26","Vancouver Grizzlies","22-60","12-29","10-31","5-10","10-33",NA,"3-11","3-12","6-8","6-7","1-14","3-8",NA,"2000","22","60"
"27","Golden State Warriors","19-63","12-29","7-34","2-4","10-39",NA,"2-11","4-12","3-9","7-8","1-16","2-7",NA,"2000","19","63"
"28","Chicago Bulls","17-65","12-29","5-36","6-9","3-38",NA,"1-12","1-13","6-8","4-10","2-14","3-8",NA,"2000","17","65"
"29","Los Angeles Clippers","15-67","10-31","5-36","3-5","3-47",NA,"4-10","5-10","2-12","1-14","2-13","1-8",NA,"2000","15","67"
" 1","San Antonio Spurs","58-24","33-8","25-16","3-7","40-6","1-0","9-4","9-7","9-4","9-4","14-3","7-2",NA,"2001","58","24"
" 2","Los Angeles Lakers","56-26","31-10","25-16","10-5","24-13","1-0","10-5","11-5","6-6","9-3","11-6","8-1",NA,"2001","56","26"
" 3","Philadelphia 76ers","56-26","29-12","27-14","6-4","26-12","1-0","11-2","9-6","13-3","9-5","7-6","6-4",NA,"2001","56","26"
" 4","Sacramento Kings","55-27","33-8","22-19","6-9","28-8","1-0","9-4","10-4","10-4","8-6","11-4","6-5",NA,"2001","55","27"
" 5","Dallas Mavericks","53-29","28-13","25-16","4-5","28-14","1-0","9-6","10-6","8-6","8-4","10-4","7-3",NA,"2001","53","29"
" 6","Utah Jazz","53-29","28-13","25-16","5-4","31-9","1-0","11-3","8-8","9-4","10-2","9-7","5-5",NA,"2001","53","29"
" 7","Milwaukee Bucks","52-30","31-10","21-20","3-7","20-12","0-1","6-8","10-4","11-4","8-4","11-5","6-4",NA,"2001","52","30"
" 8","Phoenix Suns","51-31","31-10","20-21","7-4","18-13","0-1","10-3","8-6","8-8","8-4","10-5","7-4",NA,"2001","51","31"
" 9","Miami Heat","50-32","29-12","21-20","9-9","18-12","","6-9","12-5","10-4","6-6","9-5","7-3",NA,"2001","50","32"
"10","Portland Trail Blazers","50-32","28-13","22-19","4-4","29-13","0-1","11-5","10-4","12-4","7-4","7-7","3-7",NA,"2001","50","32"
"11","New York Knicks","48-34","30-11","18-23","12-5","24-14","0-1","9-6","10-5","7-4","7-7","9-7","6-4",NA,"2001","48","34"
