Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,53-29,37-4,16-25,27-15,26-14,11-8,16-7,15-9,11-5,35-19,18-10,13-6,22-13,3-3,8-5,10-5,11-3,6-6,11-5,4-2
2,Denver Nuggets,50-32,36-5,14-27,22-20,28-12,9-11,13-9,15-5,13-7,34-19,16-13,3-5,34-12,4-0,9-5,10-5,9-5,8-5,7-9,3-3
3,Philadelphia 76ers,50-32,32-9,18-23,28-12,22-20,11-5,17-7,14-9,8-11,33-20,17-12,8-11,23-10,3-2,8-6,7-6,11-3,7-5,11-6,3-4
4,Houston Rockets,49-33,34-7,15-26,23-17,26-16,10-10,13-7,14-9,12-7,29-23,20-10,9-1,23-19,3-1,8-4,8-6,7-9,7-6,13-5,3-2
5,Portland Trail Blazers,49-33,35-6,14-27,23-19,26-14,14-5,9-14,16-8,10-6,35-21,14-12,6-7,30-12,3-1,9-5,11-6,11-5,3-8,7-8,5-0
6,Washington Bullets,48-34,32-9,16-25,25-15,23-19,14-6,11-9,16-7,7-12,30-22,18-12,7-8,25-14,1-4,6-8,8-5,12-2,9-5,8-8,4-2
7,Golden State Warriors,46-36,29-12,17-24,27-15,19-21,13-6,14-9,11-13,8-8,30-24,16-12,5-8,21-15,2-2,7-8,7-5,10-6,8-7,9-6,3-2
8,Boston Celtics,44-38,28-13,16-25,22-18,22-20,9-7,13-11,14-9,8-11,26-27,18-11,9-4,13-22,4-0,6-8,7-7,6-11,8-4,9-6,4-2
9,Chicago Bulls,44-38,31-10,13-28,25-17,19-21,11-8,14-9,10-10,9-11,23-32,21-6,7-6,19-17,2-3,0-10,9-5,9-10,7-6,12-3,5-1
10,Detroit Pistons,44-38,30-11,14-27,23-19,21-19,9-10,14-9,12-8,9-11,32-23,12-15,11-6,16-19,2-4,9-6,9-5,8-6,9-4,5-9,2-4
11,San Antonio Spurs,44-38,31-10,13-28,22-18,22-20,13-7,9-11,11-11,11-9,29-25,15-13,9-4,18-13,2-4,9-5,7-7,7-7,8-5,10-6,1-4
12,Cleveland Cavaliers,43-39,29-12,14-27,19-21,24-18,11-9,8-12,13-10,11-8,28-24,15-15,5-6,17-16,5-0,10-4,5-9,6-7,5-7,9-8,3-4
13,Kansas City Kings,40-42,28-13,12-29,23-19,17-23,13-6,10-13,7-13,10-10,28-28,12-14,8-11,20-15,2-3,9-7,5-10,9-5,5-6,10-5,0-6
14,New York Knicks,40-42,26-15,14-27,19-21,21-21,8-8,11-13,11-12,10-9,24-29,16-13,5-13,21-19,3-2,6-9,8-4,4-10,7-8,7-8,5-1
15,Seattle SuperSonics,40-42,27-14,13-28,21-21,19-21,10-9,11-12,13-11,6-10,29-26,11-16,10-9,11-21,3-2,9-7,6-10,8-5,5-8,7-7,2-3
16,Indiana Pacers,36-46,25-16,11-30,22-20,14-26,13-6,9-14,9-11,5-15,25-30,11-16,6-5,16-19,3-3,6-8,7-9,6-7,5-7,5-11,4-1
17,New Orleans Jazz,35-47,26-15,9-32,18-22,17-25,8-12,10-10,8-15,9-10,24-30,11-17,4-1,17-30,3-2,8-6,7-9,4-10,4-7,8-8,1-5
18,Phoenix Suns,34-48,26-15,8-33,18-24,16-24,9-10,9-14,11-13,5-11,25-27,9-21,1-10,25-16,1-4,5-5,8-7,8-9,4-9,4-12,4-2
19,Atlanta Hawks,31-51,19-22,12-29,18-22,13-29,9-11,9-11,7-16,6-13,22-34,9-17,11-8,9-24,2-4,5-9,5-12,6-7,7-5,5-10,1-4
20,Buffalo Braves,30-52,23-18,7-34,12-28,18-24,6-10,6-18,10-13,8-11,19-33,11-19,6-8,10-24,2-3,7-9,5-8,3-10,6-7,5-11,2-4
21,Milwaukee Bucks,30-52,24-17,6-35,15-27,15-25,7-12,8-15,7-13,8-12,17-42,13-10,5-10,13-24,1-5,3-13,5-8,6-11,6-7,6-6,3-2
22,New York Nets,22-60,10-31,12-29,14-26,8-34,6-10,8-16,4-19,4-15,17-36,5-24,9-10,3-32,2-4,7-7,3-9,1-14,6-8,2-13,1-5
