Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,62-20,35-6,27-14,42-16,20-4,19-5,23-11,10-2,10-2,43-10,19-10,11-6,29-9,6-3,9-4,14-1,14-2,8-5,11-5
2,Philadelphia 76ers,62-20,37-4,25-16,42-16,20-4,15-9,27-7,11-1,9-3,44-10,18-10,8-5,38-7,8-2,15-1,10-4,11-3,10-3,8-7
3,Milwaukee Bucks,60-22,34-7,26-15,41-17,19-5,18-10,23-7,9-3,10-2,39-14,21-8,7-5,36-9,9-2,11-4,8-5,11-3,8-4,13-4
4,Phoenix Suns,57-25,36-5,21-20,13-9,44-16,4-6,9-3,22-8,22-8,41-16,16-9,9-4,36-10,9-1,13-3,10-5,9-7,8-4,8-5
5,Los Angeles Lakers,54-28,30-11,24-17,15-7,39-21,6-4,9-3,20-10,19-11,36-18,18-10,9-9,19-9,9-2,9-6,8-7,10-3,8-4,10-6
6,San Antonio Spurs,52-30,34-7,18-23,12-10,40-20,5-5,7-5,21-9,19-11,34-20,18-10,14-4,21-16,10-2,7-6,9-6,8-6,10-4,8-6
7,New York Knicks,50-32,28-13,22-19,36-22,14-10,14-10,22-12,8-4,6-6,31-22,19-10,17-5,19-13,6-2,9-6,10-5,6-9,10-4,9-6
8,Chicago Bulls,45-37,26-15,19-22,34-24,11-13,14-15,20-9,7-5,4-8,27-27,18-10,7-7,26-15,3-7,7-7,9-6,8-7,7-8,11-2
9,Portland Trail Blazers,45-37,30-11,15-26,12-10,33-27,4-6,8-4,15-15,18-12,27-27,18-10,10-8,16-17,3-6,4-12,13-2,7-7,7-6,11-4
10,Indiana Pacers,44-38,27-14,17-24,32-26,12-12,15-14,17-12,9-3,3-9,31-23,13-15,6-13,17-15,7-3,7-8,7-7,10-5,6-7,7-8
11,Houston Rockets,40-42,25-16,15-26,8-14,32-28,2-8,6-6,19-11,13-17,24-29,16-13,12-14,13-13,4-5,7-8,5-9,8-7,9-5,7-8
12,Kansas City Kings,40-42,24-17,16-25,10-12,30-30,5-5,5-7,19-11,11-19,24-30,16-12,11-10,13-16,5-7,5-9,7-8,7-6,9-5,7-7
13,Golden State Warriors,39-43,26-15,13-28,11-11,28-32,5-5,6-6,18-12,10-20,27-25,12-18,10-13,9-14,6-5,7-6,8-7,6-7,6-9,6-9
14,Washington Bullets,39-43,26-15,13-28,23-35,16-8,8-16,15-19,10-2,6-6,26-28,13-15,3-8,28-23,2-8,8-6,6-8,10-6,5-8,8-7
15,Denver Nuggets,37-45,23-18,14-27,9-13,28-32,2-8,7-5,13-17,15-15,20-32,17-13,11-14,16-13,2-7,8-7,3-10,7-8,7-6,10-7
16,San Diego Clippers,36-46,22-19,14-27,7-15,29-31,2-8,5-7,15-15,14-16,23-30,13-16,5-10,20-25,3-7,7-9,8-5,5-9,7-6,6-10
17,Seattle SuperSonics,34-48,22-19,12-29,11-11,23-37,3-7,8-4,16-14,7-23,21-31,13-17,10-9,11-20,5-7,6-7,6-7,4-10,8-7,5-10
18,Atlanta Hawks,31-51,20-21,11-30,18-40,13-11,9-19,9-21,8-4,5-7,19-34,12-17,7-18,9-18,5-5,3-11,10-5,1-13,5-7,7-10
19,Cleveland Cavaliers,28-54,20-21,8-33,19-39,9-15,8-20,11-19,5-7,4-8,22-32,6-22,7-9,12-27,4-8,4-10,5-9,9-5,3-9,3-13
20,Utah Jazz,28-54,20-21,8-33,6-16,22-38,2-8,4-8,13-17,9-21,23-32,5-22,11-6,7-31,6-5,7-6,3-12,7-9,2-11,3-11
21,New Jersey Nets,24-58,16-25,8-33,16-42,8-16,4-20,12-22,3-9,5-7,15-41,9-17,9-8,9-32,5-7,4-9,3-12,3-13,5-7,4-10
22,Detroit Pistons,21-61,14-27,7-34,16-42,5-19,7-21,9-21,4-8,1-11,13-42,8-19,8-13,6-27,1-9,7-8,2-12,3-13,3-10,5-9
23,Dallas Mavericks,15-67,11-30,4-37,3-19,12-48,2-8,1-11,5-25,7-23,8-45,7-22,4-8,4-35,2-10,1-12,2-14,3-9,1-13,6-9
