Rk,Team,Overall,Home,Road,E,W,A,C,M,P,3,10,Feb,Mar,Apr,May
1,San Antonio Spurs,37-13,21-4,16-9,4-2,33-11,2-0,2-2,17-4,16-7,4-2,22-5,6-8,14-2,13-3,4-0
2,Utah Jazz,37-13,22-3,15-10,4-2,33-11,2-0,2-2,15-3,18-8,3-4,22-5,11-2,10-6,15-4,1-1
3,Portland Trail Blazers,35-15,22-3,13-12,5-1,30-14,4-0,1-1,15-7,15-7,3-5,19-5,9-3,15-3,10-6,1-3
4,Indiana Pacers,33-17,18-7,15-10,30-15,3-2,15-8,15-7,2-0,1-2,7-8,12-4,9-4,11-6,11-7,2-0
5,Miami Heat,33-17,18-7,15-10,30-15,3-2,12-8,18-7,3-2,,4-5,18-7,9-4,10-5,12-6,2-2
6,Orlando Magic,33-17,21-4,12-13,30-14,3-3,12-6,18-8,1-2,2-1,6-2,12-10,10-4,12-6,10-7,1-0
7,Atlanta Hawks,31-19,16-9,15-10,27-18,4-1,12-10,15-8,2-1,2-0,5-3,15-6,8-5,11-7,10-6,2-1
8,Houston Rockets,31-19,19-6,12-13,3-3,28-16,1-2,2-1,12-9,16-7,3-2,20-12,8-6,14-3,6-10,3-0
9,Los Angeles Lakers,31-19,18-7,13-12,3-3,28-16,2-1,1-2,14-8,14-8,3-3,16-8,9-6,12-5,7-8,3-0
10,Detroit Pistons,29-21,17-8,12-13,25-19,4-2,12-11,13-8,2-2,2-0,4-3,13-7,8-6,11-6,8-8,2-1
11,Milwaukee Bucks,28-22,17-8,11-14,25-20,3-2,12-9,13-11,1-1,2-1,6-6,9-6,6-5,12-7,8-9,2-1
12,Philadelphia 76ers,28-22,17-8,11-14,25-19,3-3,9-10,16-9,1-1,2-2,1-3,13-8,8-5,7-9,11-6,2-2
13,New York Knicks,27-23,19-6,8-17,24-21,3-2,12-8,12-13,1-0,2-2,3-6,12-7,8-5,9-9,8-8,2-1
14,Phoenix Suns,27-23,15-10,12-13,1-5,26-18,0-1,1-4,17-8,9-10,2-4,11-8,8-5,7-11,10-6,2-1
15,Sacramento Kings,27-23,16-9,11-14,4-2,23-21,3-2,1-0,12-12,11-9,7-2,9-14,6-7,8-11,10-5,3-0
16,Charlotte Hornets,26-24,16-9,10-15,23-21,3-3,11-11,12-10,1-0,2-3,8-2,7-9,2-9,10-8,12-6,2-1
17,Minnesota Timberwolves,25-25,18-7,7-18,3-3,22-22,2-1,1-2,11-9,11-13,1-2,13-10,8-5,9-8,7-10,1-2
18,Seattle SuperSonics,25-25,17-8,8-17,2-4,23-21,1-2,1-2,12-11,11-10,7-4,11-10,8-4,7-10,8-10,2-1
19,Toronto Raptors,23-27,14-11,9-16,19-26,4-1,10-12,9-14,3-1,1-0,5-4,12-16,4-8,11-6,7-11,1-2
20,Cleveland Cavaliers,22-28,15-10,7-18,18-26,4-2,9-13,9-13,1-2,3-0,2-0,11-15,5-6,9-8,8-11,0-3
21,Golden State Warriors,21-29,13-12,8-17,3-3,18-26,1-1,2-2,10-15,8-11,3-4,6-13,6-7,7-10,7-10,1-2
22,Boston Celtics,19-31,10-15,9-16,16-28,3-3,10-9,6-19,2-1,1-2,3-6,10-18,6-5,4-14,9-9,0-3
23,Dallas Mavericks,19-31,15-10,4-21,3-3,16-28,1-2,2-1,8-12,8-16,1-4,9-16,5-10,5-12,8-7,1-2
24,Washington Wizards,18-32,13-12,5-20,16-28,2-4,6-13,10-15,1-1,1-3,3-6,10-14,4-7,9-10,4-13,1-2
25,New Jersey Nets,16-34,12-13,4-21,14-30,2-4,6-13,8-17,1-2,1-2,2-4,9-16,2-10,3-14,9-9,2-1
26,Denver Nuggets,14-36,12-13,2-23,2-4,12-32,1-3,1-1,5-16,7-16,5-0,5-19,5-9,3-14,6-10,0-3
27,Chicago Bulls,13-37,8-17,5-20,11-33,2-4,7-14,4-19,1-3,1-1,4-2,5-22,4-10,5-11,3-14,1-2
28,Los Angeles Clippers,9-41,6-19,3-22,1-5,8-36,1-2,0-3,5-20,3-16,1-5,3-24,0-12,3-14,6-11,0-4
29,Vancouver Grizzlies,8-42,7-18,1-24,0-6,8-36,0-2,0-4,3-18,5-18,1-6,2-22,4-9,2-15,2-15,0-3
