Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Phoenix Suns,62-20,31-10,31-10,24-6,38-14,9-1,7-3,8-2,15-3,12-4,11-7,41-13,21-7,7-2,36-8,12-2,13-2,11-6,7-4,11-3,8-3
2,Miami Heat,59-23,35-6,24-17,41-11,18-12,14-4,12-6,15-1,5-5,8-2,5-5,40-14,19-9,7-8,33-6,10-6,14-1,9-6,9-3,12-3,5-4
3,San Antonio Spurs,59-23,38-3,21-20,23-7,36-16,8-2,8-2,7-3,10-8,16-2,10-6,41-12,18-11,9-7,40-5,12-3,13-3,12-4,6-3,10-5,6-5
4,Dallas Mavericks,58-24,29-12,29-12,23-7,35-17,9-1,6-4,8-2,14-4,10-8,11-5,35-16,23-8,8-4,28-10,10-6,9-4,9-4,10-3,10-6,10-1
5,Detroit Pistons,54-28,32-9,22-19,35-17,19-11,14-4,8-8,13-5,5-5,8-2,6-4,32-19,22-9,8-8,26-14,7-7,8-6,11-5,9-1,9-8,10-1
6,Seattle SuperSonics,52-30,26-15,26-15,21-9,31-21,7-3,7-3,7-3,11-5,10-8,10-8,35-15,17-15,7-5,25-15,13-3,9-3,8-7,8-3,11-6,3-8
7,Houston Rockets,51-31,26-15,25-16,18-12,33-19,7-3,6-4,5-5,12-6,11-7,10-6,32-21,19-10,12-6,28-11,6-10,9-5,10-6,7-3,12-4,7-3
8,Sacramento Kings,50-32,30-11,20-21,22-8,28-24,8-2,8-2,6-4,9-9,10-6,9-9,33-20,17-12,10-7,20-15,9-5,9-4,12-4,6-8,8-8,6-3
9,Denver Nuggets,49-33,31-10,18-23,21-9,28-24,7-3,7-3,7-3,9-7,7-11,12-6,24-29,25-4,8-4,25-18,8-6,6-9,5-10,8-4,12-2,10-2
10,Chicago Bulls,47-35,27-14,20-21,32-20,15-15,11-7,8-8,13-5,8-2,3-7,4-6,26-23,21-12,7-5,15-15,1-10,8-7,13-3,7-4,11-7,7-4
11,Boston Celtics,45-37,27-14,18-23,30-22,15-15,8-8,8-10,14-4,6-4,5-5,4-6,27-26,18-11,11-7,16-14,5-8,8-8,8-8,8-4,9-5,7-4
12,Memphis Grizzlies,45-37,26-15,19-22,18-12,27-25,8-2,4-6,6-4,9-9,11-7,7-9,30-23,15-14,7-11,23-12,5-10,9-7,12-3,5-5,8-6,6-6
13,Washington Wizards,45-37,29-12,16-25,28-24,17-13,9-9,9-9,10-6,7-3,5-5,5-5,30-22,15-15,14-6,16-16,7-5,8-8,11-4,5-7,9-6,5-7
14,Indiana Pacers,44-38,25-16,19-22,29-23,15-15,8-10,9-7,12-6,6-4,3-7,6-4,25-26,19-12,9-9,18-12,10-4,5-9,5-10,8-4,9-7,7-4
15,Minnesota Timberwolves,44-38,24-17,20-21,14-16,30-22,6-4,3-7,5-5,10-6,10-8,10-8,27-27,17-11,5-6,16-15,8-5,8-6,8-9,4-9,10-5,6-4
16,Philadelphia 76ers,43-39,25-16,18-23,33-19,10-20,8-8,13-5,12-6,4-6,4-6,2-8,26-27,17-12,10-4,13-15,6-7,7-8,8-8,5-6,9-7,8-3
17,New Jersey Nets,42-40,24-17,18-23,31-21,11-19,11-5,11-7,9-9,4-6,5-5,2-8,23-30,19-10,7-4,19-26,3-11,7-7,8-8,7-6,9-6,8-2
18,Cleveland Cavaliers,42-40,29-12,13-28,26-26,16-14,7-11,7-9,12-6,6-4,5-5,5-5,30-21,12-19,4-5,27-20,9-5,8-7,9-5,5-7,6-9,5-7
19,Los Angeles Clippers,37-45,27-14,10-31,17-13,20-32,4-6,6-4,7-3,8-10,6-10,6-12,23-30,14-15,4-13,15-19,9-6,4-9,9-8,3-9,7-8,5-5
