Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Cleveland Cavaliers,66-16,39-2,27-14,40-12,26-4,15-3,13-3,12-6,10-0,8-2,8-2,40-11,26-5,3-3,41-7,1-1,13-2,12-2,10-4,9-3,16-1,5-3
2,Los Angeles Lakers,65-17,36-5,29-12,21-9,44-8,9-1,8-2,4-6,14-4,14-2,16-2,42-10,23-7,7-5,35-7,2-0,12-1,11-4,12-4,11-2,10-5,7-1
3,Boston Celtics,62-20,35-6,27-14,41-11,21-9,15-1,12-6,14-4,7-3,6-4,8-2,44-11,18-9,7-3,35-6,2-0,14-2,12-3,11-4,8-4,9-6,6-1
4,Orlando Magic,59-23,32-9,27-14,37-15,22-8,12-6,11-7,14-2,8-2,9-1,5-5,38-13,21-10,9-2,32-10,0-2,13-2,12-3,10-3,8-6,12-2,4-5
5,Denver Nuggets,54-28,33-8,21-20,19-11,35-17,8-2,3-7,8-2,12-4,11-7,12-6,36-17,18-11,8-5,32-14,1-1,11-5,9-6,10-4,8-4,10-6,5-2
6,Portland Trail Blazers,54-28,34-7,20-21,22-8,32-20,7-3,8-2,7-3,11-5,11-7,10-8,32-20,22-8,9-1,31-11,1-1,11-5,8-6,9-5,7-5,11-5,7-1
7,San Antonio Spurs,54-28,28-13,26-15,18-12,36-16,6-4,5-5,7-3,11-7,15-3,10-6,35-16,19-12,12-7,26-12,0-2,9-5,11-4,12-3,7-4,9-8,6-2
8,Houston Rockets,53-29,33-8,20-21,18-12,35-17,5-5,5-5,8-2,14-4,12-6,9-7,32-21,21-8,5-8,29-11,2-0,9-7,10-5,8-7,8-3,11-4,5-3
9,Dallas Mavericks,50-32,32-9,18-23,21-9,29-23,7-3,6-4,8-2,11-7,11-7,7-9,31-21,19-11,10-4,28-14,0-1,8-7,11-4,8-7,8-4,9-7,6-2
10,New Orleans Hornets,49-33,28-13,21-20,19-11,30-22,6-4,7-3,6-4,10-8,11-7,9-7,30-20,19-13,8-1,23-17,2-0,7-6,10-3,9-7,7-6,11-5,3-6
11,Utah Jazz,48-34,33-8,15-26,15-15,33-19,7-3,5-5,3-7,10-6,12-6,11-7,30-23,18-11,1-3,26-15,1-0,10-7,8-7,7-8,10-1,10-5,2-6
