
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz\abdulza01,C,30,BUF,22,,195,25,74,.338,,,,25,74,.338,.338,33,43,.767,41,49,90,7,3,9,,21,83
2,Kareem Abdul-Jabbar*\abdulka01,C,29,LAL,82,,3016,888,1533,.579,,,,888,1533,.579,.579,376,536,.701,266,824,1090,319,101,261,,262,2152
3,Tom Abernethy\abernto01,SF,22,LAL,70,,1378,169,349,.484,,,,169,349,.484,.484,101,134,.754,113,178,291,98,49,10,,118,439
4,Alvan Adams\adamsal01,C,22,PHO,72,,2278,522,1102,.474,,,,522,1102,.474,.474,252,334,.754,180,472,652,322,95,87,,260,1296
5,Don Adams\adamsdo01,SF,29,BUF,77,,1710,216,526,.411,,,,216,526,.411,.411,129,173,.746,130,241,371,150,74,16,,201,561
6,Lucius Allen\allenlu01,PG,29,LAL,78,,2482,472,1035,.456,,,,472,1035,.456,.456,195,252,.774,58,193,251,405,116,19,,183,1139
7,Jerome Anderson\anderje01,SG,23,IND,27,,164,26,59,.441,,,,26,59,.441,.441,14,20,.700,9,3,12,10,6,2,,26,66
8,Tiny Archibald*\architi01,PG,28,NYN,34,,1277,250,560,.446,,,,250,560,.446,.446,197,251,.785,22,58,80,254,59,11,,77,697
9,Jim Ard\ardji01,C,28,BOS,63,,969,96,254,.378,,,,96,254,.378,.378,49,76,.645,77,219,296,53,18,28,,128,241
10,Bird Averitt\averibi01,SG,24,BUF,75,,1136,234,619,.378,,,,234,619,.378,.378,121,169,.716,20,58,78,134,30,5,,127,589
11,Dennis Awtrey\awtrede01,C,28,PHO,72,,1760,160,373,.429,,,,160,373,.429,.429,91,126,.722,111,245,356,182,23,31,,170,411
12,Mike Bantom\bantomi01,PF-SF,25,TOT,77,,1909,361,755,.478,,,,361,755,.478,.478,224,310,.723,184,287,471,102,63,49,,233,946
13,Tom Barker\barketo01,C,21,ATL,59,,1354,182,436,.417,,,,182,436,.417,.417,112,164,.683,111,290,401,60,33,41,,223,476
14,Marvin Barnes\barnema01,PF,24,DET,53,,989,202,452,.447,,,,202,452,.447,.447,106,156,.679,69,184,253,45,38,33,,139,510
15,Jim Barnett\barneji02,SG,32,PHI,16,,231,28,64,.438,,,,28,64,.438,.438,10,18,.556,7,7,14,23,4,0,,28,66
16,Norton Barnhill\barnhno01,SG,23,SEA,4,,10,2,6,.333,,,,2,6,.333,.333,0,0,,2,1,3,1,0,0,,5,4
17,Mike Barr\barrmi01,SG,26,KCK,73,,1224,122,279,.437,,,,122,279,.437,.437,41,57,.719,33,97,130,175,52,18,,96,285
18,Rick Barry*\barryri01,SF,32,GSW,79,,2904,682,1551,.440,,,,682,1551,.440,.440,359,392,.916,73,349,422,475,172,58,,194,1723
19,Tim Bassett\basseti01,PF,25,NYN,76,,2442,293,739,.396,,,,293,739,.396,.396,101,177,.571,175,466,641,109,95,53,,246,687
20,Butch Beard\beardbu01,PG,29,NYK,70,,1082,148,293,.505,,,,148,293,.505,.505,75,109,.688,50,113,163,144,57,5,,137,371
21,Byron Beck\beckby01,PF,32,DEN,53,,480,107,246,.435,,,,107,246,.435,.435,36,44,.818,45,51,96,33,15,1,,59,250
